,state_query,action_result
159,159,"596, 606, 807, 1086, 1145, 1474, 1737, 1771, 2066, 2163, 2170, 2241, 2349, 2428, 2692, 3140, 3954, 3978, 4008, 6803, 6934, 7439, 7776, 8112, 8113, 8518, 9252, 9482, 9554, 10316, 10337, 10522, 10717, 10741"
160,160,"107, 380"
161,161,"311, 7974"
162,162,"606, 1068, 1474, 1738, 1937, 2442, 6780, 6802, 6861, 6934, 6967, 6968, 7386, 7832, 8518, 8708, 8792, 8795, 11082, 11258"
163,163,"606, 1068, 1474, 1738, 1937, 2442, 6780, 6802, 6861, 6934, 6967, 6968, 7386, 7832, 8518, 8708, 8792, 8795, 11082, 11258"
164,164,"164, 606, 670, 1098, 1474, 1533, 1737, 1738, 2151, 2170, 2344, 2359, 2367, 2371, 3590, 4218, 5393, 5454, 5455, 5746, 6020, 6763, 6780, 7302, 7900, 8030, 8131, 8411, 8684, 8708, 8767, 8852, 9440, 9500, 9618, 9632, 9898, 9926, 10421, 10969, 11132, 11258"
165,165,"256, 257, 258, 1474, 1704, 1737, 1931, 1934, 2151, 2465, 2616, 2692, 2710, 2806, 3455, 3978, 4573, 5499, 5828, 5877, 6398, 6472, 6763, 7212, 7302, 8030, 8131, 8283, 8571, 8708, 9299, 9525, 9623, 9624, 10421, 10727, 10849, 10944, 11258, 11489"
166,166,"245, 247, 259, 260, 385"
167,167,"1676, 2404, 3899, 9169, 10841"
168,168,"1676, 2404, 5810, 8325, 9169"
169,169,"1474, 1738, 2143, 2151, 4315, 5166, 8503, 9033, 9500, 9558, 10421, 11258"
170,170,"245, 247, 259, 260, 385"
171,171,"1676, 2404, 3899, 9169, 10841"
172,172,"1676, 2404, 5810, 8325, 9169"
173,173,"1474, 1738, 2143, 2151, 4315, 5166, 8503, 9033, 9500, 9558, 10421, 11258"
174,174,"245, 247, 259, 260, 385"
175,175,"1676, 2404, 3899, 9169, 10841"
176,176,"1676, 2404, 5810, 8325, 9169"
177,177,"1474, 1738, 2143, 2151, 4315, 5166, 8503, 9033, 9500, 9558, 10421, 11258"
178,178,"245, 247, 259, 260, 385"
179,179,"1676, 2404, 3899, 9169, 10841"
180,180,"1676, 2404, 5810, 8325, 9169"
181,181,"1474, 1738, 2143, 2151, 4315, 5166, 8503, 9033, 9500, 9558, 10421, 11258"
182,182,"244, 247, 269, 280, 1151, 1584, 2066, 2710, 2715, 4969, 8112, 8113, 8156, 8975, 9395, 9468, 10240, 10717, 10718, 10905, 11290"
183,183,"1211, 1894, 1895, 2377, 2378, 3883, 3884, 4321, 5338, 6598, 6705, 7864, 7874, 8032, 8483, 10898"
184,184,"1211, 1894, 1895, 2377, 2378, 3883, 3884, 4321, 5338, 6598, 6705, 7864, 7874, 8032, 8483, 10898"
185,185,"212, 723, 1113, 1461, 1575, 4055, 4826, 7029, 7744, 10727, 10913"
186,186,"1155, 2715, 4826, 7002, 7029, 9233"
187,187,10913
188,188,"273, 719, 2074, 3638, 4827, 5642, 7029, 7277, 7497, 7508, 9004, 9102, 9164, 10316, 10509"
189,189,"273, 719, 2074, 3638, 4827, 5642, 7029, 7277, 7497, 7508, 9004, 9102, 9164, 10316, 10509"
190,190,"1064, 4402, 5843"
191,191,"71, 499, 519, 539, 542, 783, 1135, 1474, 1530, 1676, 1738, 1896, 2032, 2148, 2163, 2170, 2214, 2363, 2787, 2792, 2793, 2834, 2884, 2885, 3583, 3590, 3899, 4008, 4224, 4517, 5354, 5393, 5478, 6020, 6024, 7306, 7832, 8131, 8503, 8518, 9440, 9500, 9630, 9875, 9898, 10421, 10850, 11478, 11486"
192,192,"244, 247, 278"
193,193,247
194,194,"195, 261, 385, 2460, 4495, 4711, 7889, 7894, 7896, 9558, 9615"
195,195,"195, 261, 385, 2460, 4495, 4711, 7889, 7894, 7896, 9558, 9615"
196,196,244
197,197,"3918, 4873, 6026, 6754, 7805, 9657, 10114, 10348, 11145"
198,198,"207, 208, 244, 247"
199,199,"199, 244, 247"
200,200,"1053, 1475, 1531, 6020, 6780, 8430, 9226, 9500, 10654"
